GG2_gain40,,,,,,,,
GG2_gain50,,,,,,,,
GG2_gain60,,,,,,,,
GG2_gain70,,,,,,,,
GG2_gain80,,,,,,,,
GG2_gain90,,,,,,,,
GG2_gain100,,,,,,,,
GG2_gain110,,,,,,,,
GG2_gain120,,,,,,,,
0s,21s,43s,64s,86s,107s,128s,150s,171s
12506,54720,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow
7972,36588,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow
4418,21039,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow
2320,11268,41434,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow
1207,5911,22320,64033,Overflow,Overflow,Overflow,Overflow,Overflow
594,2933,11200,33011,Overflow,Overflow,Overflow,Overflow,Overflow
294,1461,5566,16628,41091,Overflow,Overflow,Overflow,Overflow
143,724,2781,8343,20618,46940,Overflow,Overflow,Overflow
69,368,1415,4228,10535,24011,51024,Overflow,Overflow
32,183,712,2138,5359,12194,25879,51568,Overflow
15,95,378,1144,2833,6495,13835,27489,51256
-4,7,40,133,339,783,1676,3327,6242
12797,55922,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow
7909,36412,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow
4421,21002,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow
2331,11258,41394,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow
1195,5815,22064,63408,Overflow,Overflow,Overflow,Overflow,Overflow
595,2942,11135,32962,Overflow,Overflow,Overflow,Overflow,Overflow
294,1470,5560,16565,40960,Overflow,Overflow,Overflow,Overflow
146,731,2807,8380,21041,47311,Overflow,Overflow,Overflow
69,364,1388,4180,10460,23732,50184,Overflow,Overflow
33,184,714,2159,5396,12178,26081,51732,Overflow
15,95,379,1146,2874,6522,13958,27493,51780
-4,7,40,133,343,778,1674,3353,6228