GG2_gain40,,,,,,,,,,,
GG2_gain50,,,,,,,,,,,
GG2_gain60,,,,,,,,,,,
GG2_gain70,,,,,,,,,,,
GG2_gain80,,,,,,,,,,,
GG2_gain90,,,,,,,,,,,
GG2_gain100,,,,,,,,,,,
GG2_gain110,,,,,,,,,,,
GG2_gain120,,,,,,,,,,,
0s,,,,,,,,,,,
12506,7972,4418,2320,1207,594,294,143,69,32,15,-4
12797,7909,4421,2331,1195,595,294,146,69,33,15,-4
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
21s,,,,,,,,,,,
54720,36588,21039,11268,5911,2933,1461,724,368,183,95,7
55922,36412,21002,11258,5815,2942,1470,731,364,184,95,7
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
43s,,,,,,,,,,,
Overflow,Overflow,Overflow,41434,22320,11200,5566,2781,1415,712,378,40
Overflow,Overflow,Overflow,41394,22064,11135,5560,2807,1388,714,379,40
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
64s,,,,,,,,,,,
Overflow,Overflow,Overflow,Overflow,64033,33011,16628,8343,4228,2138,1144,133
Overflow,Overflow,Overflow,Overflow,63408,32962,16565,8380,4180,2159,1146,133
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
86s,,,,,,,,,,,
Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,41091,20618,10535,5359,2833,339
Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,40960,21041,10460,5396,2874,343
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
107s,,,,,,,,,,,
Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,46940,24011,12194,6495,783
Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,47311,23732,12178,6522,778
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
128s,,,,,,,,,,,
Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,51024,25879,13835,1676
Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,50184,26081,13958,1674
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
150s,,,,,,,,,,,
Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,51568,27489,3327
Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,51732,27493,3353
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
171s,,,,,,,,,,,
Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,51256,6242
Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,51780,6228