plasmid,1,2,3,4,5,6,7,8,9,10,11,12
A,,pS381,pS381,pS381,pS381,pS381,pS381,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,none,
B,,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,none,
C,,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,none,
D,,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,pS381_ara_mCherry,none,
E,,pS381,pS381,pS381,pS381,pS381,pS381,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,none,
F,,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,none,
G,,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,none,
H,,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,pS381_ara_mTagBFP2,none,
,,,,,,,,,,,,
arabinose_pc,1,2,3,4,5,6,7,8,9,10,11,12
A,,0,0,0,0.1,0.1,0.1,0,0,0,0,
B,,0.00001,0.00001,0.00001,0.00003,0.00003,0.00003,0.0001,0.0001,0.0001,0,
C,,0.0003,0.0003,0.0003,0.001,0.001,0.001,0.003,0.003,0.003,0,
D,,0.01,0.01,0.01,0.03,0.03,0.03,0.1,0.1,0.1,0,
E,,0,0,0,0.1,0.1,0.1,0,0,0,0,
F,,0.00001,0.00001,0.00001,0.00003,0.00003,0.00003,0.0001,0.0001,0.0001,0,
G,,0.0003,0.0003,0.0003,0.001,0.001,0.001,0.003,0.003,0.003,0,
H,,0.01,0.01,0.01,0.03,0.03,0.03,0.1,0.1,0.1,0,
,,,,,,,,,,,,
volume,1,2,3,4,5,6,7,8,9,10,11,12
A,,200,200,200,200,200,200,200,200,200,200,
B,,200,200,200,200,200,200,200,200,200,200,
C,,200,200,200,200,200,200,200,200,200,200,
D,,200,200,200,200,200,200,200,200,200,200,
E,,200,200,200,200,200,200,200,200,200,200,
F,,200,200,200,200,200,200,200,200,200,200,
G,,200,200,200,200,200,200,200,200,200,200,
H,,200,200,200,200,200,200,200,200,200,200,